Datetime,Clear Sky Surface Shortwave Downward Irradiance,All Sky Surface Shortwave Downward Irradiance,Temperature at 2 Meters (C),Wind Speed at 10 Meters (m/s),Relative Humidity at 2 Meters (%),Hour,Month,DayOfYear,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Cloud_Effect,Lag_24h,Lag_48h,Rolling_Mean_24h,Fitted_SARIMAX,Residuals,Scaled_Residuals
2024-11-19 09:00:00,0.6728207991067868,529.28,0.35917188252286947,0.3626740947075209,0.6762345259148417,9,11,324,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,145.64,567.72,560.12,189.8883333333333,522.4860765973074,6.793923402692599,0.5546108439644936
2024-11-19 10:00:00,0.7771253688491905,633.9,0.38902262879152627,0.36935933147632305,0.6491633791320908,10,11,324,0.4999999999999999,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,145.64999999999998,657.5,667.22,188.905,616.7745184015644,17.125481598435613,0.5758998238000412
2024-11-19 11:00:00,0.8176987798070021,730.03,0.4005777563793934,0.37883008356545955,0.6344715004761257,11,11,324,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,90.22000000000004,741.9,708.65,188.41041666666663,678.892153824447,51.13784617555302,0.6459849484175357
2024-11-19 12:00:00,0.7735066592232235,685.6,0.40346653827636014,0.3938718662952646,0.6261733097537749,12,11,324,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,90.31999999999994,688.95,623.25,188.27083333333331,699.3186697975367,-13.718669797536677,0.5123430490451942
2024-11-19 13:00:00,0.6581964271473004,613.42,0.39528165623495426,0.411142061281337,0.6269895252346619,13,11,324,-0.2588190451025208,-0.9659258262890684,-0.5000000000000004,0.8660254037844384,46.83000000000004,595.3,554.3,189.0258333333333,578.976987235584,34.443012764415926,0.6115839447050494
2024-11-19 14:00:00,0.4841394848074009,455.5,0.37843042850264796,0.4066852367688022,0.6371922187457488,14,11,324,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,30.149999999999977,422.7,398.23,190.3925,469.8850861241281,-14.385086124128122,0.5109698463326808
2024-11-19 15:00:00,0.27240011165164685,248.57,0.3509870004814636,0.3760445682451252,0.6645354373554619,15,11,324,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,24.680000000000007,216.52,214.15,191.72791666666663,266.6267651575633,-18.05676515756329,0.5034040658933263
2024-11-19 16:00:00,0.06853616715846558,59.53,0.3062108810784786,0.31420612813370474,0.733097537749966,16,11,324,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.22,53.4,52.12,191.9833333333333,75.04236941536837,-15.512369415368369,0.5086469913671973
2024-11-19 17:00:00,0.0,0.0,0.24506499759268163,0.2590529247910863,0.810093864780302,17,11,324,-0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-5.4049755228046426,5.4049755228046426,0.5517488087470233
2024-11-19 18:00:00,0.0,0.0,0.22436206066441977,0.26685236768802223,0.8188001632430961,18,11,324,-1.0,-1.8369701987210294e-16,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,191.9833333333333,-3.493981540817817,3.493981540817817,0.5478110569018917
